artist,album_name,title,released,uri,description,duration,label,genre
NDOE,Хиляди Белези,ХИЛЯДИ БЕЛЕЗИ,2018-02-24,0wDpwoEjQ9E,,201,Facing The Sun,hip hop music
NDOE,Хиляди Белези,G.O.A.T.,2018-02-24,QCj2oaM4VDk,,185,Facing The Sun,hip hop music
NDOE,Хиляди Белези,МНОГО ДУМИ,2018-02-24,smx_T2iICzQ,,179,Facing The Sun,hip hop music
NDOE,Хиляди Белези,ИЗЛИЗАМ ЗА ПО ЕНО,2018-02-24,zAJ_ifTWXE0,,162,Facing The Sun,hip hop music
NDOE,Хиляди Белези,"ХОРА, ХОРА",2018-02-24,F3LrE13niQM,,206,Facing The Sun,hip hop music
NDOE,Хиляди Белези,ЗНАМ КО ПРАЯ,2018-02-24,Rh9Fm1xFhIQ,,185,Facing The Sun,hip hop music
NDOE,Хиляди Белези,ПЛЪХ,2018-02-24,w7UFAnrxnNI,,173,Facing The Sun,hip hop music
NDOE,Хиляди Белези,И ТВА Е,2018-02-24,8KZM0HPQm1s,,189,Facing The Sun,hip hop music
NDOE,Хиляди Белези,АРЕ НА БАС,2018-02-24,DG8JTmBHYXY,,218,Facing The Sun,hip hop music
NDOE,Хиляди Белези,НИ СТАА,2018-02-24,gb2-hQgjgYY,,213,Facing The Sun,hip hop music
NDOE,Хиляди Белези,ХАЙДЕ ДА СПРЕМ,2018-02-24,OyWQbowSu54,,201,Facing The Sun,hip hop music
NDOE,Хиляди Белези,ПЪЛЕН НАПРЕД,2018-02-24,mIYXf2RlQbk,,196,Facing The Sun,hip hop music
NDOE,Хиляди Белези,Ше дойдеш ли с мен,2018-02-24,,,212,Facing The Sun,hip hop music
NDOE,Хиляди Белези,ПЪЛЕН НАПРЕД,2018-02-24,,,197,Facing The Sun,hip hop music
NDOE,Хиляди Белези,Земай,2018-02-24,,,157,Facing The Sun,hip hop music
NDOE,Хиляди Белези,Малко е грозно,2018-02-24,,,195,Facing The Sun,hip hop music
So Called Crew,Вода и Вино,ИМА ВРЕМЕ,2018-01-26,RJ3_lxqADys,,207,Facing The Sun,hip hop music
So Called Crew,Вода и Вино,ШЕПА ПЕПЕЛ,2018-01-26,2xHZhxdwy_A,,264,Facing The Sun,hip hop music
So Called Crew,Вода и Вино,ВСИЧКО КОЕТО ИСКАШ,2018-01-26,GnDxBno2Mas,Fengi,229,Facing The Sun,hip hop music
So Called Crew,Вода и Вино,ПОЛЕТ В НОЩТА,2018-01-26,x9eWybCtdFE,,157,Facing The Sun,hip hop music
So Called Crew,Вода и Вино,ВСЕКИ ЗА СЕБЕ СИ,2018-01-26,L-EL8yYWfOc,Grigovor,208,Facing The Sun,hip hop music
