"artist","album_name","title","released","uri","description","duration","label","genre"
"NDOE","Хиляди Белези","Аре на бас","24 Feb 2018","","","3:39","facing the sun","hip-nop"
"NDOE","Хиляди Белези","G.O.A.T.","24 Feb 2018","","","3:35","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Излизам за по ено","24 Feb 2018","","","2:43","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Ше дойдеш ли с мен","24 Feb 2018","","","3:32","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Ни стаа","24 Feb 2018","","","3:34","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Много думи","24 Feb 2018","","","3:00","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Хайде да спрем","24 Feb 2018","","","3:22","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Хиляди белези","24 Feb 2018","","","3:22","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Пълен напред","24 Feb 2018","","","3:17","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Земай","24 Feb 2018","","","2:37","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Малко е грозно","24 Feb 2018","","","3:15","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Хора, хора","24 Feb 2018","","","3:27","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Знам ко прая","24 Feb 2018","","","3:06","facing the sun","hip-nop"
"NDOE","Хиляди Белези","Плъх","24 Feb 2018","","","2:54","facing the sun","hip-nop"
"NDOE","Хиляди Белези","И тва е","24 Feb 2018","","","3:08","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Какво Ни Има","26 Jan 2018","","","3:48","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Шибаната Лирическа Атлетика","26 Jan 2018","","","3:56","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Тия Деца","26 Jan 2018","","","3:32","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Има Време","26 Jan 2018","","","3:26","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Полет В Нощта","26 Jan 2018","","","2:41","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Огледало","26 Jan 2018","","","2:26","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Шепа Пепел","26 Jan 2018","","","4:24","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Среден Пръст За Смъртта","26 Jan 2018","","","5:06","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Всеки За Себе Си","26 Jan 2018","","","3:27","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Отвън","26 Jan 2018","","","2:44","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Всичко Което Искаш","26 Jan 2018","","","3:48","facing the sun","hip-nop"
"So Called Crew","Вода и Вино","Жажда","26 Jan 2018","","","3:20","facing the sun","hip-nop"
"100 Кила","Zla10","100 Kila feat. Лора Караджова - Цяла Нощ [Official HD Video]","2013","https://www.youtube.com/watch?v=QclJQbgWFiA","100 Kila feat. Лора Караджова - Цяла Нощ [Official HD Video]","229","facing the sun","hip-nop"
"100 Кила","Zla10","Intro","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Чужди Грехове","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Виновен ","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","VW","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Моето Радио","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Три Пръста Уиски","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Skytop","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","System","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Phone Tap 1","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Бабули Джабула","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Fuck Yo Feelings","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Boom Bom Bom (Remix)","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Левитация (Отплаване)","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Phone Tap 2","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Каймака ","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Аз Съм 6","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Ziggy Zao","01 Apr 2013","","","","facing the sun","hip-nop"
"100 Кила","Zla10","Цяла Нощ","01 Apr 2013","","","","facing the sun","hip-nop"
