"artist","title","year","label","genre","source"
"Tanya Boeva*","Обичай Ме","1997","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Andrea (3)","The Best Selection","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия и Kyriacos Georgiou*","Кажи Ми","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Кой","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","12 Диаманта","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Илия*, Глория, Мария*, Коста*, Весела, Ивана","Поп Фолк Фиеста 4","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Гумени Глави","THE BEST","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Илюзия","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Романа","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Best Ballads 9","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","DJ Folk Collection 10","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Šaban Šaulić, Orkestar Miće Nikolića","Šaban Šaulić","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Тони Дачева","Интуиция","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","10 Години 2","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Влюбена В Живота","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","The Best - Любовница","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Доза Любов","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5)","Загадка Е Сърцето","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Единствен ти","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","Твоите 100 лица","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Andrea (3)","Best Video Selection ","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Цветелина Янева","Мога Пак","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Erasure","Erasure","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Белите Шишарки*","Флинтстоун","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Море От Любов","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Живей За Мига","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
